Date,Close,High,Low,Open,Volume,ticker
2024-05-09,88.69695281982422,91.02063858717587,88.18124497678554,90.47794554376881,378013000,NVDA
2024-05-10,89.82730102539062,91.3494445724532,89.17666725781999,90.25406212026445,335325000,NVDA
2024-05-13,90.3480224609375,90.94668368485891,88.47907428372562,90.4269726636133,289680000,NVDA
2024-05-14,91.30448150634766,91.5993133075769,88.88384272491611,89.5484686052902,296507000,NVDA
2024-05-15,94.57662963867188,94.80850105677926,91.54734077306348,92.41984953324487,417735000,NVDA
2024-05-16,94.30577850341797,95.76495408373688,94.04991856770557,94.85647021604154,323952000,NVDA
2024-05-17,92.42682647705078,94.68655257434129,91.75420961084316,94.31576729412592,359691000,NVDA
2024-05-20,94.7265396118164,95.14630088740084,93.38729907778286,93.69712178712975,318764000,NVDA
2024-05-21,95.33220672607422,95.34619876949091,93.1274495632841,93.5462119787617,328946000,NVDA
2024-05-22,94.89644622802734,95.96584245517248,93.19640917175742,95.4051618418388,548648000,NVDA
2024-05-23,103.7404556274414,106.26002974980725,101.46273414650618,101.970450841432,835065000,NVDA
2024-05-24,106.40894317626953,106.41493649766242,102.94189825157174,104.39007837740144,429494000,NVDA
2024-05-28,113.83675384521484,114.87417036274923,109.82102250000426,110.18181893492428,652728000,NVDA
2024-05-29,114.7602310180664,115.42685462015827,110.83844833840384,112.98623828974068,557442000,NVDA
2024-05-30,110.43767547607422,115.75367568258609,109.60114957621623,114.58533630630252,484553000,NVDA
2024-05-31,109.5711669921875,112.65342715935483,106.87968513049076,112.45653205108225,613263000,NVDA
2024-06-03,114.93513488769531,114.93513488769531,111.93982368190672,113.55691490102478,438392000,NVDA
2024-06-04,116.37133026123047,116.53424034822847,113.98068096958718,115.65074383289046,403324000,NVDA
2024-06-05,122.3709487915039,122.37993877462908,117.40175277551737,118.30424338003813,528402000,NVDA
2024-06-06,120.92974853515625,125.51615686058132,118.25325773862335,123.97802351582399,664696000,NVDA
2024-06-07,120.81982421875,121.62337164710611,117.95544321860926,119.70245088550641,412386000,NVDA
2024-06-10,121.7213134765625,123.03057221935303,116.94401053331076,120.30211616184846,313434100,NVDA
2024-06-11,120.85173797607422,122.81079255068147,118.68277788836801,121.71131653242202,222551200,NVDA
2024-06-12,125.13966369628906,126.8188544177255,122.51093382538542,123.00069556163665,299595000,NVDA
2024-06-13,129.54751586914062,129.73742671072182,127.09870005988893,129.32762071061848,260704500,NVDA
2024-06-14,131.8164520263672,132.7759808624214,128.2581700274141,129.89737910282292,309320400,NVDA
2024-06-17,130.91688537597656,133.66556033801308,129.5175660413327,132.92592665460285,288504400,NVDA
